GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.handlebars.helper,AbstractFilterHelper,61,14,3,1,11,4,4,2,2,2
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.handlebars.helper,WithAllCloudManagerConditionalHelper,0,10,0,0,0,4,0,3,0,3
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.handlebars.helper,AbstractCloudManagerConditionalHelper,0,111,2,8,0,25,2,8,0,5
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.handlebars.helper,HttpdFilterType,0,38,0,0,0,5,0,2,0,2
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.handlebars.helper,AbstractHostHelper,0,53,0,6,0,14,0,7,0,4
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.handlebars.helper,HttpHostHelper,0,16,0,0,0,4,0,4,0,4
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.handlebars.helper,AbstractFilter,0,86,0,8,0,20,0,10,0,6
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.handlebars.helper,OakAuthorizableUuidHelper,4,37,1,3,1,12,1,5,0,4
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.handlebars.helper,HttpHostSslHelper,0,16,0,0,0,4,0,4,0,4
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.handlebars.helper,AemHttpdFilterHelper,0,181,0,20,0,45,0,14,0,4
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.handlebars.helper,HttpdCloudManagerConditionalHelper,0,23,0,0,0,6,0,3,0,3
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.handlebars.helper,AemCryptoEncryptHelper,7,100,0,16,2,29,0,11,0,3
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.handlebars.helper,DispatcherFilterType,0,28,0,0,0,4,0,2,0,2
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.handlebars.helper,WebConsolePasswordHashHelper,7,85,0,4,2,22,0,6,0,4
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.handlebars.helper,DispatcherFilter,0,134,7,11,0,26,7,13,0,11
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.handlebars.helper,AbstractCloudManagerConditionalHelper.CloudManagerConditional,3,20,1,1,1,7,1,3,0,3
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.handlebars.helper,HttpdFilter,0,57,0,6,0,17,0,7,0,4
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.handlebars.helper,OakPasswordHashHelper,7,25,0,4,2,9,0,5,0,3
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.handlebars.helper,AemDispatcherFilterHelper,0,147,1,17,0,26,1,11,0,3
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.handlebars.helper,NoClassNameOmitNullsStyle,0,32,0,2,0,11,0,4,0,3
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.postprocessor,ContentPackagePostProcessor,15,137,0,2,2,26,0,5,0,4
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.postprocessor,ContentPackageOsgiConfigPostProcessor.new ConfigConsumer() {...},0,98,0,2,0,12,0,3,0,2
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.postprocessor,ContentPackageOsgiConfigPostProcessor,9,141,1,7,2,26,1,9,0,6
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.postprocessor,ContentPackagePropertiesPostProcessor,28,47,5,5,5,14,4,6,1,4
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.crypto.impl,HmacCryptoKeySupport,0,18,0,0,0,5,0,3,0,3
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.crypto.impl,AesCryptoSupport,6,100,0,0,2,24,0,9,0,9
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.fileheader,AnyFileHeader,0,18,0,0,0,6,0,6,0,6
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.handlebars.escaping,AnyEscapingStrategy,2,25,1,1,0,6,1,5,0,5
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.validator,ContentPackageValidator,286,31,23,1,64,9,20,5,8,5
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.validator,InfoPrefixLog,105,0,0,0,32,0,17,0,17,0
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.validator,AnyValidator.new ResourceExpander() {...},3,6,0,0,1,1,1,1,1,1
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.validator,AnyValidator.new EntityResolver() {...},2,6,0,0,1,1,1,1,1,1
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.validator,AnyValidator,0,115,0,2,0,21,0,7,0,6
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.crypto,CryptoSupport,0,29,0,0,0,7,0,3,0,3
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.crypto,CryptoString,0,128,0,20,0,23,0,13,0,3
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.util,ContentPackageUtil,143,556,25,63,20,131,25,38,1,18
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.util,ContentElementHandler,31,67,3,7,3,16,3,6,0,4
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.util,JsonContentLoader,22,76,0,0,4,15,0,4,0,4
CONGA AEM Plugin,io.wcm.devops.conga.plugins.aem.util,ContentPackageBinaryFile,12,85,5,9,4,24,5,7,0,5
